20-8-25 上午2:47
项目统计数据

       	   片段数	   单词数	字符数（不计空格）	字符数（计入空格）	#文件数	
总共：    	162831	350222	  1977823	  2160180	  60	
剩余片段：  	162693	349452	  1973579	  2155321	  58	
独特片段：  	 70649	208220	  1200801	  1333710	  60	
剩余独特片段：	 70619	207563	  1197156	  1329455	  58	


各文件统计数据：

文件名                                                          	  总片段数	 剩余片段数	独特片段数	剩余独特片段数	  总单词数	 剩余单词数	 独特单词数	剩余独特单词数	总字符数（不计空格）	剩余字符数（不计空格）	独特字符数（不计空格）	剩余独特字符数（不计空格）	总字符数（计入空格）	剩余字符数（计入空格）	独特字符数（计入空格）	剩余独特字符数（计入空格）	
asobo-landingchallenge-keb-nanwalek/en-US.locPak             	     5	     4	    4	      4	    48	    47	    47	     47	       251	        246	        246	          246	       294	        289	        289	          289	
asobo-landingchallenge-kjac-jackson/en-US.locPak             	     5	     4	    4	      4	    51	    50	    50	     50	       269	        264	        264	          264	       315	        310	        310	          310	
asobo-landingchallenge-ksez-sedona/en-US.locPak              	     5	     4	    4	      4	    48	    47	    47	     47	       249	        244	        244	          244	       292	        287	        287	          287	
asobo-landingchallenge-kswf-stewartintl/en-US.locPak         	     5	     4	    4	      4	    59	    58	    58	     58	       328	        323	        323	          323	       383	        378	        378	          378	
asobo-landingchallenge-lflj-courchevel/en-US.locPak          	     5	     4	    4	      4	    52	    51	    51	     51	       324	        319	        319	          319	       371	        366	        366	          366	
asobo-landingchallenge-lfmn-nice/en-US.locPak                	     6	     5	    5	      5	    72	    71	    71	     71	       368	        363	        363	          363	       434	        429	        429	          429	
asobo-landingchallenge-lowi-innsbruck/en-US.locPak           	     5	     4	    4	      4	    57	    56	    56	     56	       317	        312	        312	          312	       369	        364	        364	          364	
asobo-landingchallenge-lpma-madeira/en-US.locPak             	     5	     4	    4	      4	    68	    67	    67	     67	       366	        361	        361	          361	       430	        425	        425	          425	
asobo-landingchallenge-lxgb-gibraltar/en-US.locPak           	     5	     4	    4	      4	    56	    55	    55	     55	       313	        308	        308	          308	       364	        359	        359	          359	
asobo-landingchallenge-mhtg-toncontin/en-US.locPak           	     5	     4	    4	      4	    49	    48	    48	     48	       283	        278	        278	          278	       327	        322	        322	          322	
asobo-landingchallenge-mynn-nassau/en-US.locPak              	     4	     3	    3	      3	    43	    42	    42	     42	       224	        219	        219	          219	       264	        259	        259	          259	
asobo-landingchallenge-nzqn-queenstown/en-US.locPak          	     5	     4	    4	      4	    60	    59	    59	     59	       328	        323	        323	          323	       383	        378	        378	          378	
asobo-landingchallenge-sbgl-riodejaneiro/en-US.locPak        	     5	     4	    4	      4	    72	    71	    71	     71	       340	        335	        335	          335	       407	        402	        402	          402	
asobo-landingchallenge-scld-llanadagrande/en-US.locPak       	     5	     4	    4	      4	    45	    44	    44	     44	       231	        226	        226	          226	       271	        266	        266	          266	
asobo-landingchallenge-seqm-mariscal-sucre-quito/en-US.locPak	     5	     4	    4	      4	    56	    55	    55	     55	       301	        296	        296	          296	       353	        348	        348	          348	
asobo-landingchallenge-tffj-gustaf/en-US.locPak              	     5	     4	    4	      4	    63	    62	    62	     62	       301	        296	        296	          296	       360	        355	        355	          355	
asobo-landingchallenge-tncs-saba/en-US.locPak                	     5	     4	    4	      4	    66	    65	    65	     65	       318	        313	        313	          313	       379	        374	        374	          374	
asobo-landingchallenge-vnlk-lukla/en-US.locPak               	     5	     4	    4	      4	    63	    62	    62	     62	       318	        313	        313	          313	       376	        371	        371	          371	
asobo-landingchallenge-vqpr-paro/en-US.locPak                	     5	     4	    4	      4	    68	    67	    67	     67	       329	        324	        324	          324	       392	        387	        387	          387	
asobo-landingchallenge-wx53-bugalaga/en-US.locPak            	     5	     4	    4	      4	    45	    44	    44	     44	       265	        260	        260	          260	       305	        300	        300	          300	
asobo-landingchallenge-yssy-sydney/en-US.locPak              	     5	     4	    4	      4	    60	    59	    59	     59	       331	        326	        326	          326	       386	        381	        381	          381	
asobo-liveevent/en-US.locPak                                 	     9	     8	    5	      5	    66	    65	    61	     61	       350	        345	        314	          314	       408	        403	        371	          371	
fs-base-aircraft-common/en-US.locPak                         	    22	    21	   21	     21	   137	   136	   136	    136	       642	        637	        637	          637	       757	        752	        752	          752	
fs-base-onboarding/en-US.locPak                              	   358	   357	  319	    319	  3779	  3778	  3713	   3713	     21416	      21411	      21184	        21184	     24717	      24712	      24458	        24458	
fs-base/en-US.locPak                                         	159440	159431	67712	  67712	313578	313569	174127	 174127	   1795566	    1795513	    1030405	      1030405	   1944888	    1944835	    1132382	      1132382	
